,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
FBgn0266569.4,9.67551155542261e-17,-0.568861283954388,0.741,0.774,1.93510231108452e-13,5,FBgn0266569
FBgn0000273.4,1.40969753222514e-16,-0.491343793190791,0.556,0.598,2.81939506445028e-13,5,FBgn0000273
FBgn0033153.3,7.72263897237741e-16,-0.373371202969989,0.721,0.779,1.54452779447548e-12,5,FBgn0033153
FBgn0030847.5,2.30970282642429e-15,-0.540953516167418,0.626,0.645,4.61940565284858e-12,5,FBgn0030847
FBgn0266253.4,3.07589173070781e-15,-1.64236254784413,0.943,0.909,6.15178346141563e-12,5,FBgn0266253
FBgn0266521.3,4.40702518764452e-15,-0.372774388732767,0.746,0.729,8.81405037528904e-12,5,FBgn0266521
FBgn0047178.3,1.49900069412965e-14,-0.535049361879135,0.824,0.858,2.9980013882593e-11,5,FBgn0047178
FBgn0019968.3,2.46260897144887e-14,-0.575384638781229,0.695,0.701,4.92521794289775e-11,5,FBgn0019968
FBgn0085359.5,2.47944246549792e-14,-1.09094734005624,0.873,0.844,4.95888493099584e-11,5,FBgn0085359
FBgn0030241.3,1.98781193857337e-13,-0.258332515090036,0.526,0.592,3.97562387714674e-10,5,FBgn0030241
FBgn0004449.4,3.06128394892873e-13,-0.622907977108119,0.645,0.707,6.12256789785747e-10,5,FBgn0004449
FBgn0045842.3,3.71714754688865e-13,-0.254250725222508,0.762,0.61,7.4342950937773e-10,5,FBgn0045842
FBgn0037541.3,5.50620678412823e-13,-0.374088013210969,0.547,0.605,1.10124135682565e-09,5,FBgn0037541
FBgn0003748.5,5.3379343852641e-12,-1.36024383817513,0.946,0.92,1.06758687705282e-08,5,FBgn0003748
FBgn0035539.4,6.27724726150536e-12,-0.607392887658286,0.863,0.83,1.25544945230107e-08,5,FBgn0035539
FBgn0051075.3,7.75488603968139e-12,-0.401526855811551,0.731,0.788,1.55097720793628e-08,5,FBgn0051075
FBgn0036752.4,1.12217254559838e-11,-0.706453133424447,0.758,0.748,2.24434509119676e-08,5,FBgn0036752
FBgn0052594.2,2.13405305134313e-11,-0.347922533852346,0.645,0.69,4.26810610268626e-08,5,FBgn0052594
FBgn0022709.4,2.85529497503583e-11,-0.58806588297036,0.881,0.789,5.71058995007165e-08,5,FBgn0022709
FBgn0037720.5,2.94295536633473e-11,-0.833383900207463,0.753,0.679,5.88591073266946e-08,5,FBgn0037720
FBgn0016672.3,4.72340824869182e-11,-0.704524090122568,0.782,0.765,9.44681649738365e-08,5,FBgn0016672
