"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","Gene_name"
"FBgn0035568",0,NA,NA,NA,NA,NA,"FBgn0035568","CG18418"
"FBgn0035585",0,NA,NA,NA,NA,NA,"FBgn0035585","ATPsynCF6L"
"FBgn0030234",0.431774075934097,0.997711140895924,0.897723947671475,0.723118687230283,0.395122824709448,1,"FBgn0030234","CG15211"
"FBgn0040850",0.199769002302937,-0.271836880374319,3.59164298643663,0.0548937766186839,0.814756580963361,1,"FBgn0040850","CG15210"
"FBgn0030237",0.0292534378182134,0.38722697653504,6.56657436490084,-0.0098850917463551,1,1,"FBgn0030237","CG15209"
"FBgn0030239",0.0994991672215396,1.02313800077363,2.68961886045434,0.0762144149023811,0.782494622055802,1,"FBgn0030239","CG17333"
"FBgn0030240",0.0221065412269691,0.513390530579688,8.04738462210595,-0.0173491095944556,1,1,"FBgn0030240","CG2202"
"FBgn0030243",0.0486736888690538,1.90171731003441,4.44508084191846,0.203900981069609,0.651590341929509,1,"FBgn0030243","CG2186"
"FBgn0030244",0,NA,NA,NA,NA,NA,"FBgn0030244","CG2157"
"FBgn0030247",0,NA,NA,NA,NA,NA,"FBgn0030247","CG15208"
"FBgn0003965",0.0345463255349887,0.472444392397704,6.87138040485426,-0.0103607929341933,1,1,"FBgn0003965","v"
"FBgn0030261",0,NA,NA,NA,NA,NA,"FBgn0030261","CG15203"
"FBgn0030246",0.0519728204763302,0.674128387505548,4.96341422387005,0.00240435676799677,0.960892008559651,1,"FBgn0030246","CG1582"
"FBgn0030245",0.135159956098442,1.8187897582938,2.29539377013393,0.898232728074476,0.343256024066562,1,"FBgn0030245","CG1637"
"FBgn0030242",0.00368834375621808,0.630019276441734,8.04745906806796,-0.00301955294987977,1,1,"FBgn0030242","sofe"
"FBgn0030241",0.148724919362395,-0.186123316263627,1.76851237807984,0.123430897735204,0.725342788487685,1,"FBgn0030241","feo"
"FBgn0003321",0.0176317413825752,0.839228938306309,7.80626777977774,0.00281734380625664,0.957669236893428,1,"FBgn0003321",NA
"FBgn0003360",3.5579837503758,0.0657615965115618,0.40049274183757,0.0269372173510192,0.869632257736381,1,"FBgn0003360","sesB"
"FBgn0025111",0.0188037371206392,0.85800326856044,7.73413701692819,0.00389915015941256,0.95020991299133,1,"FBgn0025111","Ant2"
"FBgn0030263",0.233963218428781,0.721044423090805,1.29179171317911,0.079118922761495,0.778494988679648,1,"FBgn0030263","CG2076"
"FBgn0027498",0.0206650230306429,0.189758590189475,6.98547393441012,-0.00566458823627158,1,1,"FBgn0027498","CG2061"
"FBgn0015245",0.46414255347452,1.72574773275808,0.8638261387476,3.49613131578434,0.0615123662453916,1,"FBgn0015245","Hsp60A"
"FBgn0028686",0.267792133531651,1.09033966400696,1.1445548169432,0.444614654686092,0.504903526387894,1,"FBgn0028686","Rpt3"
"FBgn0030269",0.156083739676302,-0.637823503510139,1.7330369724705,0.520896454691666,0.470459530282861,1,"FBgn0030269","CDK2AP1"
"FBgn0030271",0,NA,NA,NA,NA,NA,"FBgn0030271","CG15202"
"FBgn0030272",0,NA,NA,NA,NA,NA,"FBgn0030272","CG15201"
"FBgn0030274",0.0863975354918695,0.147288354131329,3.4846088152475,-0.012504590175368,1,1,"FBgn0030274","Lint-1"
"FBgn0030276",0.270101297890055,0.733154127007212,1.26963998819761,0.00669263126778219,0.934798993816981,1,"FBgn0030276","Dlic"
"FBgn0030278",0.00411192730626604,0.732630798150725,8.04743062641382,-0.00113434284591207,1,1,"FBgn0030278","CG15200"
"FBgn0030280",0,NA,NA,NA,NA,NA,"FBgn0030280","CG11106"
"FBgn0030286",0.0649521883112401,0.580491082072591,3.93139327556355,-0.0259512298001567,1,1,"FBgn0030286","Gapvd1"
"FBgn0030290",0,NA,NA,NA,NA,NA,"FBgn0030290","CG11756"
"FBgn0030291",0.0268877606145264,0.569004555265378,8.04745616363274,-0.00834429990601393,1,1,"FBgn0030291",NA
"FBgn0030292",0.316563395492363,-0.21199572443887,1.09268453892045,0.197818466981744,0.656487508816096,1,"FBgn0030292",NA
"FBgn0030293",0.172504645694626,1.32990431954978,1.75729699434178,0.453442377497794,0.500704741187611,1,"FBgn0030293",NA
"FBgn0000499",0.0715962427100862,0.620516715832442,4.29393747747197,0.0189488364724753,0.890513265099513,1,"FBgn0000499",NA
"FBgn0030294",0.0325165513767816,1.08345202491123,5.52350313068843,0.0103470593667367,0.918978532839842,1,"FBgn0030294",NA
"FBgn0004864",0.0300797873193688,0.59309774053702,7.74782520728842,-0.00708874745642163,1,1,"FBgn0004864","hop"
"FBgn0030289",0.107792354585599,0.773112293948677,2.76191565550047,0.0476172852662273,0.827262492691059,1,"FBgn0030289","GCS1"
"FBgn0028421",0.0157269900811489,0.598810977881926,8.04745769463537,-0.00582890423018512,1,1,"FBgn0028421","Kap3"
"FBgn0001491",0.0779701719397712,0.53585324942892,2.82582219314832,-0.022656885551072,1,1,"FBgn0001491",NA
"FBgn0030277",0.0168919483927834,0.804657486083762,8.04740204954671,0.00504180961626943,0.943393217969874,1,"FBgn0030277","CG1394"
"FBgn0020255",1.35737435216538,-0.0700902156567495,0.527275704265705,0.0261066948030475,0.871640023739734,1,"FBgn0020255","Ran"
"FBgn0052667",0.0059567653643897,0.367739102980235,8.04745906654674,-0.00638255195305959,1,1,"FBgn0052667",NA
"FBgn0030268",0.214001282138447,0.673808035178124,1.50759620324235,0.14728459743344,0.701143918300114,1,"FBgn0030268","Klp10A"
"FBgn0010391",0.265228066737156,1.26545476886039,1.13004161394029,0.840435491191386,0.359272249832693,1,"FBgn0010391","SrpRalpha"
